OrderID,ProductID,UnitPrice,Quantity,Discount,TotalPrice,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,Year,Month,Day,OrderDate_iso,ProductName,CategoryID,SupplierID,ShipperID,TotalSales
10248,11,14.0,12,0.0,168.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996.0,7.0,4.0,1996-07-04,Queso Cabrales,4.0,5.0,3,168.0
10248,42,9.8,10,0.0,98.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996.0,7.0,4.0,1996-07-04,Singaporean Hokkien Fried Mee,5.0,20.0,3,98.0
10248,72,34.8,5,0.0,174.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996.0,7.0,4.0,1996-07-04,Mozzarella di Giovanni,4.0,14.0,3,174.0
10249,14,18.6,9,0.0,167.4,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,1996.0,7.0,5.0,1996-07-05,Tofu,7.0,6.0,1,167.4
10249,51,42.4,40,0.0,1696.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,1996.0,7.0,5.0,1996-07-05,Manjimup Dried Apples,7.0,24.0,1,1696.0
10250,41,7.7,10,0.0,77.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,8.0,1996-07-08,Jack's New England Clam Chowder,8.0,19.0,2,77.0
10250,51,42.4,35,0.0,1484.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,8.0,1996-07-08,Manjimup Dried Apples,7.0,24.0,2,1484.0
10250,65,16.8,15,0.0,252.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,8.0,1996-07-08,Louisiana Fiery Hot Pepper Sauce,2.0,2.0,2,252.0
10251,22,16.8,6,0.050000000745058,95.75999992489817,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,1996.0,7.0,8.0,1996-07-08,Gustaf's Knäckebröd,5.0,9.0,1,95.75999992489817
10251,57,15.6,15,0.050000000745058,222.29999982565644,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,1996.0,7.0,8.0,1996-07-08,Ravioli Angelo,5.0,26.0,1,222.29999982565644
10252,20,64.8,40,0.050000000745058,2462.39999806881,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,1996.0,7.0,9.0,1996-07-09,Sir Rodney's Marmalade,3.0,8.0,2,2462.39999806881
10252,33,2.0,25,0.0,50.0,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2.0,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,1996.0,7.0,9.0,1996-07-09,Geitost,4.0,15.0,2,50.0
10253,31,10.0,20,0.0,200.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,10.0,1996-07-10,Gorgonzola Telino,4.0,14.0,2,200.0
10253,39,14.4,42,0.0,604.8000000000001,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,10.0,1996-07-10,Chartreuse verte,1.0,18.0,2,604.8000000000001
10253,49,16.0,40,0.050000000745058,607.999999523163,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2.0,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454876,Brazil,1996.0,7.0,10.0,1996-07-10,Maxilaku,3.0,23.0,2,607.999999523163
10254,24,3.6,15,0.0,54.0,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,1996.0,7.0,11.0,1996-07-11,Guaraná Fantástica,1.0,10.0,2,54.0
10254,55,19.2,21,0.0,403.2,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2.0,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,1996.0,7.0,11.0,1996-07-11,Pâté chinois,6.0,25.0,2,403.2
10255,2,15.2,20,0.0,304.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,1996.0,7.0,12.0,1996-07-12,Chang,1.0,1.0,3,304.0
10255,16,13.9,35,0.0,486.5,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,1996.0,7.0,12.0,1996-07-12,Pavlova,3.0,7.0,3,486.5
10255,36,15.2,25,0.0,380.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,1996.0,7.0,12.0,1996-07-12,Inlagd Sill,8.0,17.0,3,380.0
10255,59,44.0,30,0.0,1320.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3.0,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,1996.0,7.0,12.0,1996-07-12,Raclette Courdavault,4.0,28.0,3,1320.0
10256,53,26.2,15,0.1000000014901161,353.69999941438437,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2.0,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737363,Brazil,1996.0,7.0,15.0,1996-07-15,Perth Pasties,6.0,24.0,2,353.69999941438437
10256,77,10.4,12,0.1000000014901161,112.31999981403352,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2.0,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737363,Brazil,1996.0,7.0,15.0,1996-07-15,Original Frankfurter grüne Soße,2.0,12.0,2,112.31999981403352
10257,27,35.1,25,0.0,877.5,HILAA,4,1996-07-16,1996-08-27,1996-07-22,2.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1996.0,7.0,16.0,1996-07-16,Schoggi Schokolade,3.0,11.0,2,877.5
10257,39,14.4,6,0.0,86.4,HILAA,4,1996-07-16,1996-08-27,1996-07-22,2.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1996.0,7.0,16.0,1996-07-16,Chartreuse verte,1.0,18.0,2,86.4
10257,77,10.4,15,0.0,156.0,HILAA,4,1996-07-16,1996-08-27,1996-07-22,2.0,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1996.0,7.0,16.0,1996-07-16,Original Frankfurter grüne Soße,2.0,12.0,2,156.0
10258,2,15.2,50,0.2000000029802322,607.9999977350235,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,1996.0,7.0,17.0,1996-07-17,Chang,1.0,1.0,1,607.9999977350235
10258,5,17.0,65,0.2000000029802322,883.9999967068434,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,1996.0,7.0,17.0,1996-07-17,Chef Anton's Gumbo Mix,2.0,2.0,1,883.9999967068434
10258,32,25.6,6,0.2000000029802322,122.87999954223635,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1.0,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,1996.0,7.0,17.0,1996-07-17,Mascarpone Fabioli,4.0,14.0,1,122.87999954223635
